,Name,Short description,Description,tags,Categories,Images,ID
115,Google Pixel 2,Google Pixel 2 and Pixel 2 XL hands-on,,"Google,Android,Hands-on",android > Google,,116
116,Motorola Moto Z2 Play,Moto Z2 Play review,,"Motorola,Lenovo,Android",android > Motorola,"https://cdn.gsmarena.com/imgroot/reviews/17/motorola-moto-z2-play/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/motorola-moto-z2-play/offic/-1024x768m/gsmarena_001.jpg",117
117,Huawei Honor 7X,Honor 7X hands-on review,,"Huawei,Honor,Android,Hands-on",android > Huawei,,118
118,Sony Xperia XA1 Plus,Sony Xperia XA1 Plus review,3.5,"Sony,Android",android > Sony,"https://cdn.gsmarena.com/imgroot/reviews/17/sony-xperia-xa1-plus/lifestyle/-728w2/gsmarena_006.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/sony-xperia-xa1-plus/inline/-728/gsmarena_001.jpg",119
119,Xiaomi Mi A1 (Mi 5X),Xiaomi Mi A1 review,4.0,"Xiaomi,Google,Android,Dual SIM",android > Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-a1/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-a1/ofic/-728/gsmarena_001.jpg",120
120,Google Pixel 2 XL,Google Pixel 2 XL hands-on review,,"Google,Android,Preview",android > Google,https://cdn.gsmarena.com/imgroot/reviews/17/google-pixel-2-xl-extended-first-look/lifestyle/-728w2/gsmarena_003.jpg,121
122,Honor Mate 10 Lite,Honor 9i/Mate 10 Lite hands-on review,,"Honor,Huawei,Android,Preview",android > Honor,https://cdn.gsmarena.com/imgroot/reviews/17/honor-9i-huawei-mate-10-lite-hands-on/inline/-728/gsmarena_001.jpg,123
123,Apple Galaxy Note8,Galaxy Note8 vs iPhone 8 Plus,,"Apple,Samsung,iOS,Android,Shootout",android > Apple,https://cdn.gsmarena.com/imgroot/reviews/17/apple-iphone-8-plus-vs-samsung-galaxy-note8/lifestyle/-728w2/gsmarena_002.jpg,124
124,Huawei Mate 10,Huawei Mate 10 review,4.3,"Huawei,Android,Dual SIM",android > Huawei,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10/ofic/-728/gsmarena_001.jpg,125
125,Xiaomi Mi Mix 2,Xiaomi Mi Mix 2 review,4.0,"Xiaomi,Android",android > Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-mix-2/lifestyle/-728w2/gsmarena_018.jpg,126
126,Google Pixel 2 XL,Google Pixel 2 XL review,4.5,"Google,Android",android > Google,https://cdn.gsmarena.com/imgroot/reviews/17/google-pixel-2-xl/lifestyle/-728w2/gsmarena_009.jpg,127
127,HTC U11 Life,HTC U11 Life hands-on review,,"HTC,Android,Preview",android > HTC,,128
128,Nokia Nokia 5,Nokia 5 review,3.4,"Nokia,Android,Dual SIM",android > Nokia,"https://cdn.gsmarena.com/imgroot/reviews/17/nokia-5/lifestyle/-728w2/gsmarena_016.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-5/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-5/offic/-728/gsmarena_001.jpg",129
129,Razer Phone,Razer Phone hands-on review,,"Razer,Android,Preview",android > Razer,"https://cdn.gsmarena.com/imgroot/reviews/17/razer-phone/hands-on/inline/-728/gsmarena_103.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/razer-phone/hands-on/-728w2/gsmarena_101.jpg",130
132,Samsung Galaxy J5 (2017),Samsung Galaxy J5 (2017) review,3.8,"Samsung,Android",android > Samsung,,133
133,Samsung Galaxy J7 Max,Samsung Galaxy J7 Max preview,,"Samsung,Android,Dual SIM",android > Samsung,https://cdn.gsmarena.com/imgroot/reviews/17/samsung-j7-max/inline/-728/gsmarena_001.jpg,134
135,Nokia Nokia 6,Nokia 6 review,3.4,"Nokia,Android",android > Nokia,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-6-global/lifestyle/-728w2/gsmarena_008.jpg,136
136,Lenovo Moto Z2 Force,Moto Z2 Force review,4.1,"Lenovo,Motorola,Android,Review",android > Lenovo,,137
137,Huawei Mate 10 Porsche Design,"Huawei Mate 10, 10 Pro, Porsche Design hands-on ",,"Huawei,Android,Dual SIM",android > Huawei,"https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-hands-on/lifestyle/-728w2/gsmarena_042.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-hands-on/lifestyle/-728w2/gsmarena_027.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-hands-on/lifestyle/-728w2/gsmarena_012.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-mate-10-hands-on/lifestyle/-728w2/gsmarena_026.jpg",138
138,Xiaomi Mi Max 2,Xiaomi Mi Max 2 review,3.8,"Xiaomi,Android,Dual SIM",android > Xiaomi,"https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-max-2/lifestyle/-728w2/gsmarena_004.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/xiaomi-mi-max-2/ofic/-728w3/gsmarena_001.jpg",139
139,Nokia Nokia 8,Nokia 8 review,4.6,"Nokia,Android,HMD",android > Nokia,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-8/lifestyle/-728w2/gsmarena_010.jpg,140
140,Nokia Nokia 8,Hands-on Nokia 8 review,,"Nokia,Android,Hands-on",android > Nokia,https://cdn.gsmarena.com/imgroot/reviews/17/nokia-8/handson/inline/-728/gsmarena_002.jpg,141
141,Samsung Galaxy Note8,Samsung Galaxy Note8 hands-on review,,"Samsung,Android,Hands-on,Preview",android > Samsung,,142
142,Motorola Moto G5S Plus,Moto G5S Plus hands-on review,,"Motorola,Android,Preview",android > Motorola,https://cdn.gsmarena.com/imgroot/reviews/17/moto-g5s-plus/inline/-728/gsmarena_001.jpg,143
144,Sony Xperia XZ1 Compact,Sony Xperia XZ1 Compact hands-on review,,"Sony,Android,IFA 2017",android > Sony,https://cdn.gsmarena.com/imgroot/reviews/17/ifa-2017-xperia-xz1-compact-hands-on/lifestyle/-728w2/gsmarena_029.jpg,145
145,Huawei Honor 8 Pro,Honor 8 Pro review,,"Huawei,Honor,Android,Dual SIM",android > Huawei,"https://cdn.gsmarena.com/imgroot/reviews/17/huawei-honor-8-pro/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/huawei-honor-8-pro/ofic/-728w3/gsmarena_001.jpg",146
146,Samsung Galaxy S8,Samsung Galaxy S8 review,4.7,"Samsung,Android",android > Samsung,"https://cdn.gsmarena.com/imgroot/reviews/17/samsung-galaxy-s8/lifestyle/-728w2/gsmarena_011.jpg,https://cdn.gsmarena.com/imgroot/reviews/17/samsung-galaxy-s8/offic/-728/gsmarena_001.jpg",147
